no;i;t;y;x1;x2;x3
1;1;1;1;0.068398387;-0.031655353;-0.589521702
2;1;2;0;-0.89791776;0.291829496;-0.945150672
3;1;3;1;-0.065636496;-1.417744942;0.091397581
4;1;4;0;1.110666617;2.579816754;-0.413157719
5;1;5;1;0.255335741;-1.165257877;-0.477931359
6;1;6;0;1.388817387;0.799394323;-0.297154011
7;1;7;1;0.430763342;-0.500896447;-0.378285127
8;1;8;0;1.589820956;0.626685899;-0.051657733
9;1;9;1;0.677332659;-2.029393328;-2.151777187
10;1;10;1;-0.583851648;0.692399314;0.419728677
11;1;11;0;0.266466109;0.077317326;-0.263189475
12;1;12;0;-0.883302789;1.757388926;-0.190783765
13;1;13;0;0.071590922;0.75987969;0.487057096
14;1;14;1;-0.511985085;-1.300789248;0.83710008
15;1;15;1;1.353023172;-1.903887282;-0.497093683
16;1;16;0;-0.695695085;0.821794744;-0.467835879
17;1;17;1;0.283694956;-0.57759101;0.004570551
18;1;18;1;0.864265544;1.189231598;-0.3964933
19;1;19;0;1.265820434;-0.262297311;-0.643248576
20;1;20;1;-1.623583932;-1.314440329;1.246606934
21;2;1;1;1.25281542;-0.442051935;-0.716346196
22;2;2;0;1.730889783;-0.7749916;-0.0053111
23;2;3;0;-1.616943976;-1.69588297;-2.492406173
24;2;4;1;-0.653732064;-0.254928941;0.144681997
25;2;5;1;1.409825709;0.298530815;1.685804066
26;2;6;0;0.867497113;-0.294406313;-0.525073082
27;2;7;0;-0.887174957;0.777269653;-0.286845855
28;2;8;0;1.468014802;1.966236582;-0.711450831
29;2;9;0;2.238335111;-0.333618644;-0.991400148
30;2;10;0;-0.070966105;1.639184818;0.689202954
31;2;11;0;0.481848807;0.427051848;1.199435018
32;2;12;0;-0.637413983;-0.650750532;-0.023555354
33;2;13;0;-1.081987299;-0.287965829;-1.580322262
34;2;14;0;-0.166697954;-1.026670531;-0.075013935
35;2;15;0;-0.079285919;-0.530104406;-1.530386754
36;2;16;0;-0.105788355;1.638012475;1.930288536
37;2;17;1;-0.818552815;-0.281586616;0.840441225
38;2;18;0;-1.135382873;1.197824679;-1.122435406
39;2;19;0;0.99530615;-0.014277121;-0.853170533
40;2;20;1;0.048498628;-0.440302322;0.871879303
41;3;1;1;-0.125343374;-0.492040274;1.36752495
42;3;2;0;-3.518736118;-0.044465658;1.212142174
43;3;3;0;1.466367148;-0.793288401;-0.84092314
44;3;4;0;0.168994844;0.617128626;-0.929451131
45;3;5;0;0.055269147;0.924859982;-0.251432707
46;3;6;0;-0.029917494;-0.861928715;-0.058254325
47;3;7;1;-1.314662571;-0.102538696;0.854415909
48;3;8;1;1.243182527;-0.514038002;1.797082224
49;3;9;1;-0.307639886;1.959760469;0.853515608
50;3;10;0;0.085542841;0.418274659;-0.01159158
51;3;11;0;-0.256999875;0.385430343;0.235617456
52;3;12;0;0.366378846;0.853092589;-1.43768357
53;3;13;0;1.096367403;0.313584526;0.725542266
54;3;14;1;-0.652973744;0.226060424;0.033844625
55;3;15;1;0.081828055;-0.845781818;0.86233309
56;3;16;0;0.641372845;1.647803348;0.091402238
57;3;17;0;-0.333998533;0.502491603;0.945822402
58;3;18;0;-1.767963403;-0.279867234;0.676793824
59;3;19;0;0.141640711;-1.160546862;0.753185984
60;3;20;1;0.974536878;-0.365453586;0.837640922
61;4;1;1;1.281431614;-1.185541769;1.963010725
62;4;2;1;0.085788196;-1.689775389;-0.373960179
63;4;3;1;-0.290787858;-0.031582924;0.618055837
64;4;4;1;1.004359029;-0.602412817;0.739009033
65;4;5;1;2.64410052;-0.181462569;1.950458733
66;4;6;0;0.297168693;1.580441442;1.17140269
67;4;7;1;-1.110299888;-1.500844761;-0.021883213
68;4;8;0;0.885298494;1.542520657;1.284050888
69;4;9;1;-1.418487214;-2.45909336;-0.106793608
70;4;10;0;-0.797849705;1.029679366;-0.492339535
71;4;11;0;2.289198062;1.522350164;-0.252942567
72;4;12;0;1.754816355;2.576496549;0.985413079
73;4;13;0;-0.898288453;0.221153166;0.426151309
74;4;14;0;-0.743000844;-1.092798952;-2.314317067
75;4;15;1;-0.523877171;1.762975671;0.865004048
76;4;16;0;-0.987039278;1.217987309;1.555262238
77;4;17;0;-0.246288355;-0.438422301;-0.314762786
78;4;18;1;-0.371913492;0.0317937;1.690817023
79;4;19;0;-0.661299537;2.100629915;0.104216631
80;4;20;0;1.160256451;1.211677604;-0.622584116
81;5;1;0;-0.479221113;0.039939362;0.009213549
82;5;2;1;0.193451682;-1.245012726;-0.089635456
83;5;3;1;0.81388437;-0.039653253;-0.605165706
84;5;4;1;1.435592722;-0.755897688;-0.072454181
85;5;5;0;-0.977102007;-0.294692441;-2.286043414
86;5;6;0;1.758070678;0.281150525;-1.149675465
87;5;7;1;0.053900421;0.526683345;-1.307172829
88;5;8;0;-0.76456998;2.013869228;0.68598421
89;5;9;0;-1.765444819;-0.288580881;-0.166799417
90;5;10;0;-1.344953743;0.055313172;-0.790447947
91;5;11;0;0.744899909;1.224563638;-0.923712102
92;5;12;0;0.944835433;-0.884424157;-0.973976487
93;5;13;0;-4.126065416;1.320603249;0.187599811
94;5;14;1;-0.059498462;0.315184861;-0.929589226
95;5;15;1;1.190155849;-0.011416353;0.258769651
96;5;16;1;-0.461053065;0.661626422;0.323103631
97;5;17;1;0.008581344;-2.20504671;-1.209778717
98;5;18;1;1.809764181;2.066250495;0.775593169
99;5;19;0;-1.082440567;1.060941364;-0.898679408
100;5;20;0;0.203396714;-0.680869551;-1.606817653
101;6;1;1;1.668031095;-1.183367532;-0.779783574
102;6;2;0;0.80132459;1.047691114;1.514726256
103;6;3;1;0.558325324;0.222751391;0.556455154
104;6;4;1;-0.125061836;-1.735170321;0.343671349
105;6;5;0;0.101747762;-1.564435511;-0.365038433
106;6;6;0;-0.891397912;0.788187437;1.280656849
107;6;7;0;-1.046307194;2.323039007;0.32954844
108;6;8;0;-0.875495652;0.303145215;-1.84000165
109;6;9;0;1.231002494;1.262122277;-1.343639174
110;6;10;0;-0.969713287;0.015658868;-0.202339442
111;6;11;0;0.386607104;-2.786788187;-0.189608529
112;6;12;1;1.025823869;-3.388039669;-1.422857663
113;6;13;0;-0.727185214;0.723680107;0.747448523
114;6;14;0;0.512312913;-0.285392052;-0.16464098
115;6;15;0;-0.6587517;-1.745722371;-0.485933921
116;6;16;0;0.81921778;-1.068305391;-0.461337789
117;6;17;1;-0.155276145;-1.312334357;0.376009083
118;6;18;0;0.474310801;-0.548084611;-1.080274194
119;6;19;1;-0.666057963;0.146215867;1.408271617
120;6;20;0;-0.529514317;0.322853106;0.304903407
121;7;1;0;-2.048368751;0.02543624;-0.217308708
